USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 225780  8212 ?        Ss   5月17   0:09 /sbin/init splash
root          2  0.0  0.0      0     0 ?        S    5月17   0:00 [kthreadd]
root          4  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/0:0H]
root          6  0.0  0.0      0     0 ?        I<   5月17   0:00 [mm_percpu_wq]
root          7  0.0  0.0      0     0 ?        S    5月17   0:00 [ksoftirqd/0]
root          8  0.0  0.0      0     0 ?        I    5月17   0:47 [rcu_sched]
root          9  0.0  0.0      0     0 ?        I    5月17   0:00 [rcu_bh]
root         10  0.0  0.0      0     0 ?        S    5月17   0:00 [migration/0]
root         11  0.0  0.0      0     0 ?        S    5月17   0:00 [watchdog/0]
root         12  0.0  0.0      0     0 ?        S    5月17   0:00 [cpuhp/0]
root         13  0.0  0.0      0     0 ?        S    5月17   0:00 [cpuhp/1]
root         14  0.0  0.0      0     0 ?        S    5月17   0:00 [watchdog/1]
root         15  0.0  0.0      0     0 ?        S    5月17   0:00 [migration/1]
root         16  0.0  0.0      0     0 ?        S    5月17   0:00 [ksoftirqd/1]
root         18  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/1:0H]
root         19  0.0  0.0      0     0 ?        S    5月17   0:00 [cpuhp/2]
root         20  0.0  0.0      0     0 ?        S    5月17   0:00 [watchdog/2]
root         21  0.0  0.0      0     0 ?        S    5月17   0:00 [migration/2]
root         22  0.0  0.0      0     0 ?        S    5月17   0:00 [ksoftirqd/2]
root         24  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/2:0H]
root         25  0.0  0.0      0     0 ?        S    5月17   0:00 [cpuhp/3]
root         26  0.0  0.0      0     0 ?        S    5月17   0:00 [watchdog/3]
root         27  0.0  0.0      0     0 ?        S    5月17   0:00 [migration/3]
root         28  0.0  0.0      0     0 ?        S    5月17   0:00 [ksoftirqd/3]
root         30  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/3:0H]
root         31  0.0  0.0      0     0 ?        S    5月17   0:00 [cpuhp/4]
root         32  0.0  0.0      0     0 ?        S    5月17   0:00 [watchdog/4]
root         33  0.0  0.0      0     0 ?        S    5月17   0:00 [migration/4]
root         34  0.0  0.0      0     0 ?        S    5月17   0:00 [ksoftirqd/4]
root         36  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/4:0H]
root         37  0.0  0.0      0     0 ?        S    5月17   0:00 [cpuhp/5]
root         38  0.0  0.0      0     0 ?        S    5月17   0:00 [watchdog/5]
root         39  0.0  0.0      0     0 ?        S    5月17   0:00 [migration/5]
root         40  0.0  0.0      0     0 ?        S    5月17   0:00 [ksoftirqd/5]
root         42  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/5:0H]
root         43  0.0  0.0      0     0 ?        S    5月17   0:00 [cpuhp/6]
root         44  0.0  0.0      0     0 ?        S    5月17   0:00 [watchdog/6]
root         45  0.0  0.0      0     0 ?        S    5月17   0:00 [migration/6]
root         46  0.0  0.0      0     0 ?        S    5月17   0:00 [ksoftirqd/6]
root         48  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/6:0H]
root         49  0.0  0.0      0     0 ?        S    5月17   0:00 [cpuhp/7]
root         50  0.0  0.0      0     0 ?        S    5月17   0:00 [watchdog/7]
root         51  0.0  0.0      0     0 ?        S    5月17   0:00 [migration/7]
root         52  0.0  0.0      0     0 ?        S    5月17   0:00 [ksoftirqd/7]
root         54  0.0  0.0      0     0 ?        I<   5月17   0:00 [kworker/7:0H]
root         55  0.0  0.0      0     0 ?        S    5月17   0:00 [kdevtmpfs]
root         56  0.0  0.0      0     0 ?        I<   5月17   0:00 [netns]
root         57  0.0  0.0      0     0 ?        S    5月17   0:00 [rcu_tasks_kthre]
root         58  0.0  0.0      0     0 ?        S    5月17   0:00 [kauditd]
root         61  0.0  0.0      0     0 ?        S    5月17   0:00 [khungtaskd]
root         62  0.0  0.0      0     0 ?        S    5月17   0:00 [oom_reaper]
root         63  0.0  0.0      0     0 ?        I<   5月17   0:00 [writeback]
root         64  0.0  0.0      0     0 ?        S    5月17   0:01 [kcompactd0]
root         65  0.0  0.0      0     0 ?        SN   5月17   0:00 [ksmd]
root         66  0.0  0.0      0     0 ?        SN   5月17   0:00 [khugepaged]
root         67  0.0  0.0      0     0 ?        I<   5月17   0:00 [crypto]
root         68  0.0  0.0      0     0 ?        I<   5月17   0:00 [kintegrityd]
root         69  0.0  0.0      0     0 ?        I<   5月17   0:00 [kblockd]
root         70  0.0  0.0      0     0 ?        I<   5月17   0:00 [ata_sff]
root         71  0.0  0.0      0     0 ?        I<   5月17   0:00 [md]
root         72  0.0  0.0      0     0 ?        I<   5月17   0:00 [edac-poller]
root         73  0.0  0.0      0     0 ?        I<   5月17   0:00 [devfreq_wq]
root         74  0.0  0.0      0     0 ?        I<   5月17   0:00 [watchdogd]
root         76  0.0  0.0      0     0 ?        I    5月17   0:01 [kworker/2:1]
root         78  0.0  0.0      0     0 ?        I    5月17   0:02 [kworker/3:1]
root         83  0.0  0.0      0     0 ?        S    5月17   0:02 [kswapd0]
root         84  0.0  0.0      0     0 ?        S    5月17   0:00 [ecryptfs-kthrea]
root        126  0.0  0.0      0     0 ?        I<   5月17   0:00 [kthrotld]
root        127  0.0  0.0      0     0 ?        I<   5月17   0:00 [acpi_thermal_pm]
root        128  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_0]
root        129  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_0]
root        130  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_1]
root        131  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_1]
root        137  0.0  0.0      0     0 ?        I<   5月17   0:00 [ipv6_addrconf]
root        146  0.0  0.0      0     0 ?        I<   5月17   0:00 [kstrp]
root        163  0.0  0.0      0     0 ?        I<   5月17   0:00 [charger_manager]
root        222  0.0  0.0      0     0 ?        I<   5月17   0:00 [mpt_poll_0]
root        223  0.0  0.0      0     0 ?        I<   5月17   0:00 [mpt/0]
root        224  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_2]
root        225  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_2]
root        226  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_3]
root        227  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_3]
root        228  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_4]
root        229  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_4]
root        230  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_5]
root        231  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_5]
root        232  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_6]
root        233  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_6]
root        234  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_7]
root        235  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_7]
root        236  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_8]
root        237  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_8]
root        238  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_9]
root        239  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_9]
root        240  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_10]
root        241  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_10]
root        242  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_11]
root        243  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_11]
root        244  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_12]
root        245  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_12]
root        246  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_13]
root        247  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_13]
root        248  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_14]
root        249  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_14]
root        250  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_15]
root        251  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_15]
root        252  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_16]
root        253  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_16]
root        254  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_17]
root        255  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_17]
root        256  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_18]
root        257  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_18]
root        258  0.0  0.0      0     0 ?        S    5月17   0:00 [scsi_eh_19]
root        259  0.0  0.0      0     0 ?        I<   5月17   0:00 [scsi_tmf_19]
